episode,reward,moving_average_100
511,-200.0,-192.91
512,-200.0,-193.34
513,-200.0,-193.34
514,-131.0,-192.65
515,-200.0,-192.65
516,-200.0,-192.65
517,-197.0,-192.62
518,-200.0,-192.62
519,-200.0,-192.62
520,-200.0,-192.62
521,-200.0,-192.62
522,-200.0,-192.87
523,-197.0,-192.84
524,-200.0,-192.84
525,-200.0,-192.84
526,-200.0,-192.84
527,-107.0,-191.91
528,-200.0,-192.25
529,-200.0,-192.25
530,-200.0,-192.25
531,-200.0,-192.25
532,-200.0,-192.25
533,-200.0,-192.25
534,-123.0,-191.48
535,-200.0,-191.48
536,-92.0,-190.4
537,-200.0,-190.66
538,-200.0,-190.66
539,-108.0,-189.74
540,-200.0,-189.74
541,-200.0,-189.77
542,-200.0,-189.77
543,-200.0,-189.77
544,-200.0,-189.77
545,-200.0,-189.77
546,-200.0,-189.77
547,-200.0,-189.77
548,-200.0,-189.77
549,-200.0,-189.77
550,-200.0,-189.77
551,-200.0,-189.77
552,-200.0,-189.77
553,-175.0,-189.52
554,-200.0,-189.52
555,-200.0,-189.52
556,-200.0,-190.37
557,-200.0,-191.15
558,-185.0,-191.0
559,-200.0,-191.0
560,-200.0,-191.0
561,-200.0,-191.0
562,-200.0,-191.0
563,-200.0,-191.0
564,-200.0,-191.15
565,-200.0,-191.93
566,-200.0,-191.93
567,-200.0,-192.76
568,-200.0,-192.76
569,-200.0,-193.06
570,-200.0,-193.06
571,-138.0,-192.44
572,-200.0,-192.44
573,-200.0,-192.44
574,-174.0,-192.18
575,-200.0,-192.18
576,-200.0,-192.18
577,-157.0,-192.15
578,-200.0,-192.15
579,-200.0,-192.15
580,-158.0,-191.73
581,-200.0,-191.73
582,-200.0,-191.73
583,-200.0,-191.73
584,-200.0,-192.24
585,-178.0,-192.02
586,-200.0,-192.02
587,-200.0,-192.02
588,-200.0,-192.02
589,-200.0,-192.02
590,-200.0,-192.02
591,-183.0,-191.85
592,-200.0,-192.09
593,-200.0,-192.09
594,-200.0,-192.09
595,-200.0,-192.09
596,-168.0,-191.77
597,-200.0,-191.77
598,-200.0,-191.77
599,-200.0,-192.08
600,-200.0,-192.08
601,-200.0,-192.08
602,-200.0,-192.08
603,-168.0,-191.76
604,-200.0,-191.76
605,-200.0,-192.39
606,-200.0,-192.39
607,-182.0,-192.21
608,-189.0,-192.1
609,-163.0,-191.73
610,-200.0,-191.73
611,-200.0,-191.73
612,-200.0,-191.73
613,-200.0,-191.73
614,-200.0,-192.42
615,-200.0,-192.42
616,-200.0,-192.42
617,-200.0,-192.45
618,-200.0,-192.45
619,-200.0,-192.45
620,-200.0,-192.45
621,-200.0,-192.45
622,-160.0,-192.05
623,-200.0,-192.08
624,-200.0,-192.08
625,-200.0,-192.08
626,-200.0,-192.08
627,-179.0,-192.8
628,-200.0,-192.8
629,-200.0,-192.8
630,-176.0,-192.56
631,-200.0,-192.56
632,-200.0,-192.56
633,-200.0,-192.56
634,-200.0,-193.33
635,-200.0,-193.33
636,-200.0,-194.41
637,-200.0,-194.41
638,-177.0,-194.18
639,-200.0,-195.1
640,-200.0,-195.1
641,-200.0,-195.1
642,-200.0,-195.1
643,-200.0,-195.1
644,-158.0,-194.68
645,-200.0,-194.68
646,-187.0,-194.55
647,-200.0,-194.55
648,-193.0,-194.48
649,-131.0,-193.79
650,-198.0,-193.77
651,-200.0,-193.77
652,-166.0,-193.43
653,-200.0,-193.68
654,-200.0,-193.68
655,-159.0,-193.27
656,-183.0,-193.1
657,-89.0,-191.99
658,-200.0,-192.14
659,-146.0,-191.6
660,-200.0,-191.6
661,-171.0,-191.31
662,-200.0,-191.31
663,-153.0,-190.84
664,-200.0,-190.84
665,-161.0,-190.45
666,-181.0,-190.26
667,-200.0,-190.26
668,-200.0,-190.26
669,-180.0,-190.06
670,-200.0,-190.06
671,-166.0,-190.34
672,-146.0,-189.8
673,-198.0,-189.78
674,-177.0,-189.81
675,-200.0,-189.81
676,-186.0,-189.67
677,-139.0,-189.49
678,-200.0,-189.49
679,-190.0,-189.39
680,-200.0,-189.81
681,-190.0,-189.71
682,-177.0,-189.48
683,-200.0,-189.48
684,-153.0,-189.01
685,-200.0,-189.23
686,-151.0,-188.74
687,-180.0,-188.54
688,-200.0,-188.54
689,-200.0,-188.54
690,-200.0,-188.54
691,-179.0,-188.5
692,-200.0,-188.5
693,-200.0,-188.5
694,-200.0,-188.5
695,-135.0,-187.85
696,-200.0,-188.17
697,-159.0,-187.76
698,-200.0,-187.76
699,-153.0,-187.29
700,-200.0,-187.29
701,-181.0,-187.1
702,-182.0,-186.92
703,-125.0,-186.49
704,-200.0,-186.49
705,-162.0,-186.11
706,-155.0,-185.66
707,-159.0,-185.43
708,-153.0,-185.07
709,-200.0,-185.44
710,-200.0,-185.44
711,-143.0,-184.87
712,-136.0,-184.23
713,-200.0,-184.23
714,-200.0,-184.23
715,-200.0,-184.23
716,-136.0,-183.59
717,-153.0,-183.12
718,-125.0,-182.37
